ptid,0,1,2,3,4,5,6,7,8
2,5.822223340769904e-08,0.020735648350828438,0.23087814898304798,0.6340287521773076,0.10968823169445059,0.0018429600359593688,0.00044493282793514014,0.00238126750732587,2.0091201602068955e-10
3,0.0006726469521356949,0.2290718177328537,0.5460424392941082,0.20765218843688094,0.014465186357963771,0.0020837125018071476,9.477043768625976e-06,2.5316785035582497e-06,1.978347471975209e-12
5,0.00013778636425598698,0.749911065229357,0.08738542848234818,0.15165208226881016,0.010862957717205982,4.7561066496913974e-05,3.2349490272794414e-11,3.118839176770924e-06,2.4287891449588987e-18
6,4.403754708250543e-24,9.160693798480242e-13,8.670139868780698e-10,3.8455887772736704e-07,0.00016623158041133802,3.330236716066797e-06,0.0006506698538290136,0.995801653947075,0.0033777289551598665
11,6.18314436827655e-25,1.089639906046858e-13,7.27109165602506e-10,2.5399992287272754e-07,5.8124305034986034e-05,0.0008163015949830848,0.031793568516160234,0.5061099846869075,0.4612217661697716
16,1.0975370290597516e-09,0.0013090492936771619,0.04125032934404667,0.5196329940243121,0.19322170760601778,0.003401939168963442,0.007690694634152053,0.23349166453397746,1.6202973157336509e-06
18,1.6475202299675319e-07,0.0020524663574629635,0.17852686801236908,0.053383676557393206,0.16573549257652861,0.14385553272229895,0.22891831220526615,0.226887413100406,0.0006400737162522624
19,0.044947656585757445,0.9467624176770251,0.002041887202438403,0.006137969930124626,0.00011006284201888008,5.498765636365751e-09,3.423191992023773e-13,2.6352712130305835e-10,9.400010908988713e-20
27,1.354557821911065e-15,9.650059724562638e-07,0.001682278219835161,0.005358355795002744,0.14381884151573734,0.07819000788660004,0.3179369405189678,0.4513948533998785,0.0016177576580039623
32,6.436709597029547e-15,2.078108110014016e-07,1.3868060434294894e-05,2.7810425627559273e-05,0.020852860757349222,0.09805697581987376,0.14704094536576343,0.618564682075957,0.11544264968417745
39,7.752803269873477e-24,1.7480088094767492e-09,4.2745683900675964e-05,8.407916493931578e-06,0.03797009127600397,0.12745495166429938,0.8242080186496412,0.006861945621512403,0.0034538374401412537
49,7.93722780134321e-06,0.023981995779257557,0.19761593066194189,0.632852064706344,0.13184006702465473,0.0033767365593868055,0.0011989906253894137,0.009126261821163878,1.5594061613130454e-08
52,0.0860921062894313,0.13104532062018193,0.2234138225822372,0.18604357470996039,0.07053220111333833,0.10213797289140032,0.047509890061699596,0.1061746869464573,0.047050424785293844
60,1.7424174488318867e-22,2.192647386452318e-09,7.412116096784036e-07,2.291899074619637e-05,0.010890310692539122,0.1671467439417582,0.12454680238172919,0.41227764135450995,0.28511483923446185
63,6.730376185849477e-06,0.034035507775191556,0.4798083487123006,0.2935624897485203,0.09339365433491331,0.006325270325762469,0.003119167538996523,0.08974428199684127,4.549191288463533e-06
66,0.0006496549531748836,0.17742495156810362,0.37441717368463273,0.4186144939578091,0.02871170457720833,4.212626883086798e-05,0.00010427633989015107,3.56186457319602e-05,4.618058633329665e-12
77,6.629306369702677e-39,2.6475778926067826e-23,2.4389610431175164e-16,5.136402216359667e-15,3.9839804195688857e-10,2.8093690799815314e-08,0.0001978486990286771,0.0002488982139865148,0.9995532245948896
99,0.03399608946887102,0.6223340510755475,0.06003199295704282,0.2819019854717101,0.0017293635488792312,1.0541935522880106e-06,1.159370696415814e-07,5.347347322142686e-06,4.9796887430872644e-15
100,0.060314359251424095,0.8395115953627477,0.02187939470212457,0.07562817504033022,0.0026565487327563377,8.136632036173694e-06,2.802881711264435e-08,1.7622497461443696e-06,1.766672357074033e-14
106,0.00017471984325198708,0.13979854342780115,0.09136880367371329,0.22677274944292602,0.5124491076345408,0.026917175022749887,0.0021789451636219518,0.00033993355381833196,2.2237576469848095e-08
109,2.297016650451833e-19,3.328808006926974e-07,0.003227109011709611,0.0021788662113900793,0.07052428049789376,0.15739302230605282,0.584729324822243,0.17896203875804959,0.002985025511860029
110,1.5368564209127826e-44,4.432333091460554e-24,1.0659504179127744e-16,4.563495360934822e-16,1.184993237960287e-09,1.6972408482139652e-06,0.0013391246175467133,8.838043246551902e-06,0.9986503389133652
113,8.664253237926815e-22,2.781504069226437e-11,5.475673441636641e-08,8.394112194022986e-07,0.001409239661486894,0.005699686732386385,0.20958525594068564,0.2460356409065795,0.5372692825630933
137,0.9975998456977395,0.0023220097279394204,1.755566590331724e-06,7.63837990187274e-05,5.175560358807043e-09,1.5740773471246775e-14,1.4828738088545378e-15,3.313430673463631e-11,4.001624036584908e-25
139,5.332669984032301e-07,0.028765479242871678,0.17984355990060394,0.6620613519777896,0.12522209523951905,0.0020990266690063117,0.000648283627778043,0.0013596693998807758,6.755527776118009e-10
154,1.2922988033862188e-06,0.13114186980867254,0.05222347267614412,0.5519612062829656,0.26363350319921974,0.00010209598829609738,3.216779358150407e-05,0.0009043919382823726,1.4034799303563989e-11
161,9.485549975022919e-12,0.00014012893418333884,0.044306057893026704,0.006275113678098971,0.36698095310807965,0.16243975120447282,0.1776280701468302,0.24217255975977658,5.7365266046573434e-05
165,0.050918940185108244,0.8487593066679543,0.06985784428949413,0.029858650375201932,0.0005843358008308495,2.0842151561338754e-05,6.628218073399962e-08,1.4247667533998277e-08,8.567092226446978e-16
166,2.4583973494312955e-07,0.11517749031344836,0.04140207655916813,0.5009728835207912,0.31055365505577914,0.02829081777400749,0.0001717814592352289,0.0034310467010834254,2.776752896548781e-09
171,0.0003368537754305746,0.2808120453535332,0.4718687197481214,0.23649298641473637,0.010155294228498693,0.00033220984666385386,1.644411977589096e-06,2.4622102119636684e-07,1.730211049808299e-14
175,0.03812759668967194,0.6520401850959126,0.2756313860321552,0.03280788772702887,0.0013917268271132458,1.042265599569113e-06,1.685760114384223e-07,6.786505474423815e-09,1.1766235988432042e-16
178,2.4824315518589436e-08,0.01481692429675149,0.3875830474096943,0.4220645654799635,0.15893933816408107,0.0113307259051136,0.0015865040440744224,0.003678867041727262,2.83427847259199e-09
191,1.8685286554445191e-06,0.08722375272375382,0.5452497202066898,0.33829104490672485,0.028359639922331408,0.0008381967599182434,1.9586008269338578e-05,1.6190942881245915e-05,7.762655469792061e-13
196,2.1472005743849282e-10,0.0052012830508481695,0.5626427232859196,0.1823612521777184,0.14765536164544152,0.07069706140055,0.005854442399290417,0.025586115419106676,1.7604064053019371e-06
208,1.6059182789267442e-26,1.493291614746886e-13,4.548558368932908e-07,3.2305274477595028e-09,3.3400582582136685e-05,0.33407376617839313,0.06509878303873666,1.8362582362087818e-05,0.6007752295314156
219,6.33320621437172e-19,1.0402268522127299e-08,0.00017675298119247093,0.0001261479778301152,0.02164804049070579,0.20719562341621797,0.6050585363904356,0.11491320918788915,0.05088167915345479
230,0.33261264477186286,0.6645269713581248,0.0015034858727844221,0.0013550402907115508,1.8548123978439476e-06,2.8936877084459833e-09,2.516811834293646e-17,4.3116171095984587e-13,1.672182056703453e-27
232,0.0020874117546760525,0.7240650984308726,0.13833966252444102,0.13096799193227612,0.004512377421279569,2.6359015820862984e-05,3.9316701643906905e-07,7.05753615031355e-07,1.7294123801336145e-15
245,2.6352054957118993e-20,1.2427022220500534e-09,1.6390362282373487e-05,3.6013723293998035e-05,0.004749868850223924,0.023805082327571933,0.3701439652126122,0.5576194729123709,0.04362920536894164
246,5.110278684078885e-20,1.9672550585552406e-08,0.0011223193753807637,7.523958984469922e-05,0.024340722058944917,0.23198331163814076,0.6766226735228316,0.06214452765216223,0.0037111864901448063
