ptid,p1,p2,p3,p4,p5,p6,p7,p8,p9
139,5.180535504937282e-05,0.17597185398902088,0.44839887913997417,0.18077982756161248,0.17010924426052507,0.0032135473173013234,0.0032725336923268055,0.018202207451636424,1.0123255408396519e-07
154,0.0001935499306616058,0.33421784588550646,0.3336445223112022,0.2775536522596747,0.054055113245356085,2.7746119854209794e-05,6.997620227349809e-06,0.00030057262526581014,2.251515081109199e-12
161,9.73594484990769e-13,1.8712779467529973e-05,0.01441945777427037,0.01568068975033599,0.14605578601670885,0.15488251842927217,0.5324326295824725,0.1282660835604226,0.008244122106076803
165,0.10160377416195854,0.2147223477291715,0.16829375091743645,0.22507240979448873,0.09941640227117925,0.0243239600930922,0.06295082932944977,0.0647881147446323,0.03882841095859202
166,2.122693395667302e-06,0.15276827680862842,0.22304309681552692,0.15228096662636567,0.2526722921713051,0.02528664520667517,0.014244638374228428,0.17969877038688964,3.1909169685747974e-06
171,0.00016833842424775642,0.22569565603878614,0.6068899791312294,0.14577539703323153,0.02108847194667318,0.0003061397438747821,3.763764363180794e-05,3.838003408519857e-05,4.24181614557147e-12
175,0.2744018040040009,0.6441205647972973,0.07662277867504053,0.0036406162589424566,0.0012136177841656625,4.82522800215337e-07,1.0709925275437375e-07,2.8858504328262657e-08,1.7982196598211466e-15
178,7.740758554649207e-07,0.011761165843510675,0.2025142690117074,0.7103276211026996,0.04913354773290761,0.004183664593928349,0.009560640460844634,0.012518311990422677,5.188121912339366e-09
191,1.1579222424737058e-05,0.012931559905536374,0.4348309878457539,0.5106792680181672,0.03874774231674534,0.00042314396797379694,0.000343942225552632,0.0020317762390086626,2.58836038350059e-10
196,7.423134402334655e-06,0.03155961106200656,0.4845363744708734,0.30074792611628787,0.14823341090346298,0.007828861300436071,0.003501631888295041,0.02358455448713304,2.0663710261884317e-07
208,2.7895896052102102e-24,3.702373126095691e-13,7.659042553838325e-07,7.43608657738604e-09,5.0826480074302825e-05,0.14225809994356237,0.04025017332628493,4.8099744652667444e-05,0.8173920271647004
