ptid,p1,p2,p3,p4,p5,p6,p7,p8,p9
165,0.064894753925137,0.7589175288307032,0.16591158291960525,0.008058858728522165,0.0020945500803927113,0.0001209697571611634,1.6775455837607577e-06,7.821261701837242e-08,2.776561919925035e-13
166,6.299171226036349e-08,0.019192079360901424,0.6078995028600854,0.19632755667658575,0.10922873525234678,0.020210707124373242,0.02041368840679515,0.02672762540311522,4.192407419931031e-08
171,0.00041429410628744125,0.2595535847031708,0.6804829376524774,0.0419875246640636,0.01715387892366157,0.00039726826248720986,8.082458635115025e-06,2.4292291950007535e-06,2.527315563403871e-14
175,0.037742759514448825,0.7073886279752064,0.21188598947753207,0.0370972324717421,0.005881889810958501,1.226405829838497e-06,2.267026126384382e-06,7.318143518437313e-09,1.0925842561715504e-14
178,5.999501244254263e-07,0.026948301491620134,0.19212618493344238,0.5867820264670145,0.10889594960597128,0.02575870330638837,0.031481842728234226,0.028006387995841077,3.521366297493181e-09
191,6.64459063326116e-08,0.002510118240005571,0.7949963544610076,0.20125526027596816,0.0006346760518999763,0.0005818664330799018,1.7717756169570437e-05,3.940335631690651e-06,3.3025715734972695e-13
196,1.7582398245634321e-06,0.04307995280187156,0.3370944353096293,0.1877338038243492,0.36813150580237575,0.015364371479708112,0.01654136110837818,0.032052204439998865,6.069938647908853e-07
208,2.846581216279467e-28,4.761946463007011e-16,3.8534855722784865e-08,3.675036937238985e-09,0.00011547013051893848,0.006649116080942363,0.03154852955833039,4.097639912778906e-06,0.9616827443804044
219,1.3380666636906127e-19,1.5413917226500128e-10,4.702215613678148e-05,1.3161589914682714e-05,0.018891433836162683,0.013055122994880741,0.6603215931117868,0.018555808290175634,0.2891158578668019
230,0.5232847767785328,0.46744761804384666,0.006222978489585401,0.003043195465273211,1.3872250611377733e-06,4.3988348215269706e-08,7.816018750180485e-12,1.5355651448436785e-12,1.0392397281325985e-21
232,0.0011903256340588492,0.2299325199892206,0.4447167092577194,0.32092883877666395,0.0031324351027892795,9.19656031080353e-05,6.0924942895936765e-06,1.1131417797537117e-06,3.7069416415747773e-13
